Том,№,Субъект,,,Карта 1,Карта 2,Карта 3,Карта 4,Карта 5,Карта 6,Карта 7,Карта 8,Карта 9,Карта 10,Карта 11,Карта 12,Карта 13,Карта 14,Карта 15,Карта 16,Карта 17,Карта 18,Карта 19,Карта 20,Карта 21,Карта 22,Карта 23,Карта 24,Карта 25,Карта 26
1,146,16,с,Кугарчино,1,1,1,1,6,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,107,16,с,Янга-Сала,3,1,1,1,1,1,1,1,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,110,16,с,Татарское Ходяшево,1,4,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,112,16,с,Кибячи,2,5,1,1,6,1,1,2,1,1,1,9,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,83,16,с,Большие Ачасыры,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1,88,16,с,Бурундуки,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
1,86,16,с,Молвино,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
1,91,16,с,Сатламышево,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,8,1
1,85,16,с,Кугеево,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1,87,16,с,Мамадыш-Акилово,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1
1,89,16,,Большие Кушманы,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,8,1
1,84,16,с,Акзигитово,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
1,90,16,с,Старые Чечкабы,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,8,1
2,199,16,с,Старые Бугады,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,157,16,с,Тюгеевка,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,11,1,1,1,1,1,7,3,1,1,1
2,295,16,с,Урмышла,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,3,1,8,1
2,288,16,с,Ильтень-Бута,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,11,1,1,1,1,3,1,3,1,1,1
2,154,16,с,Чубуклы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,3,6,1,1
2,155,16,с,Сарапала,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,11,1,1,1,1,3,7,3,1,1,1
2,291,16,с,Маметьево,1,1,1,1,1,7,1,1,1,1,1,1,1,1,2,11,1,1,1,1,1,1,3,1,8,1
2,158,16,с,Савалеево,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,11,1,1,1,1,3,7,3,1,1,1
2,156,16,с,Светлое Озеро,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,11,1,1,1,1,3,7,3,1,1,1
2,289,16,с,Калейкино,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,3,1,1,1
2,297,16,с,Васильевка,1,1,4,1,3,7,9,1,1,1,1,1,1,1,2,11,1,1,1,1,3,1,3,1,8,1
2,149,16,,Сармашбаш,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,2,1,1,1
2,296,16,с,Абдрахманово,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,3,6,1,1
2,143,16,с,Верхние Шипки,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,6,1,1
2,116,16,,Старое Утяганово,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,29,16,с,Девятерня,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,11,1,1,1,4,1,6,2,2,1,1
2,106,16,с,Исенбаево,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,6,6,2,2,1,1
2,111,16,с,Ямурзино,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,11,1,1,1,4,1,6,2,2,1,1
2,104,16,с,Крынды,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,11,1,1,1,4,1,6,2,2,1,1
2,30,16,с,Янга-Аул,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,11,1,1,1,4,1,6,2,2,1,1
2,22,16,с,Биктово,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,11,1,1,1,4,6,6,2,2,1,1
2,24,16,с,Табарле,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,11,1,1,1,1,6,6,2,2,1,1
2,105,16,д,Тойгузино,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,11,1,1,1,4,1,6,6,2,1,1
2,107,16,с,Камаево,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,11,1,1,1,4,1,6,6,2,1,1
2,318,16,с,Салихово,2,4,1,1,1,2,9,1,4,2,1,9,1,1,1,11,1,2,1,2,12,10,6,1,2,2
2,320,16,с,Новые Чути,2,4,1,1,1,2,9,1,4,2,1,9,1,1,1,11,1,2,1,2,12,10,6,1,2,2
2,316,16,с,Татарская Тумбарла,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,3,1,1
2,194,16,с,Новое Алимово,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,311,16,с,Кзыл-Яр,1,1,4,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,3,1,1
2,303,16,с,Сарабикулово,1,1,4,1,1,7,9,1,1,3,1,1,1,1,1,11,1,1,1,4,3,1,1,1,8,1
2,301,16,с,Федотовка,1,1,4,1,3,7,9,1,1,3,1,1,1,1,1,11,1,1,1,1,3,1,3,1,8,1
2,310,16,с,Акбаш,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,2,1,1,2,2,1,1
2,305,16,с,Дым-Тамак,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,2,2,1,1
2,302,16,с,Нижние Чершилы,1,1,4,1,1,7,9,1,1,3,1,1,1,1,1,11,1,1,1,4,3,1,1,1,8,1
2,21,16,с,Иж-Бобья,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,11,1,1,1,4,6,6,2,2,1,1
1,145,16,с,Янчиково,1,1,1,1,1,1,1,7,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,101,16,с,Старый Юмралы,1,1,1,1,1,1,1,7,1,1,1,2,1,1,1,11,1,2,1,1,1,6,1,1,1,1
2,140,16,с,Кряш-Шуран,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,307,16,с,Старое Шугурово,1,1,4,1,1,7,9,1,1,3,1,1,1,1,1,11,1,1,1,4,3,1,1,1,8,1
2,308,16,с,Сугушла,1,1,4,1,1,7,9,1,1,3,1,1,1,1,1,11,1,1,1,4,3,1,1,1,8,1
2,151,16,,Татар. Шуган,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,298,16,с,Старый Каразерик,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,2,2,1,1
2,146,16,с,Салауз-Мухан,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,164,16,с,Учалле,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,139,16,с,Нижний Табын,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,150,16,с,Баюково,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,141,16,с,Старые Карамалы,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,299,16,с,Байряки-Тамак,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,2,1,1,1
2,166,16,с,Верхнее Стярле,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,6,1,1
2,163,16,с,Сарлы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,300,16,с,Каракашлы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,2,1,1,1
2,294,16,с,Карамалы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,2,1,1,1
2,290,16,с,Асеево,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,6,1,1
2,161,16,с,Большой Сухояш,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,147,16,с,Тойгильдино,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,293,16,с,Балтачево,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,2,1,1,1
2,160,16,с,Масягутово,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,145,16,с,Кавзияково,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,165,16,с,Мальбагуш,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,2,1,1,1
2,148,16,с,Иляксаз,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,2,2,1,1
2,159,16,с,Сулеево,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,3,2,1,1
2,292,16,с,Бишмунча,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,3,6,1,1
2,152,16,с,Новый Имян,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,2,6,1,1
2,205,16,с,Старое Байсарово,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,130,16,с,Старое Сафарово,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,1,2,1,1
2,121,16,с,Татарские Суксы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,125,16,с,Старое Курмашево,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,126,16,с,Атясево,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,135,16,с,Исансупово,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,136,16,с,Семяково,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,134,16,с,Старый Иркеняш,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,1,1,1,6,2,1,1
2,129,16,с,Аю,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,6,2,1,1
2,122,16,,Ст.Мелькен,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,127,16,с,Верхние Юшады,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,138,16,,Сарсаз Такермень,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,142,16,с,Ляки,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,144,16,с,Средний Багряж,1,1,1,1,3,1,1,1,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
2,137,16,д,Кабан-Бастрык,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,6,1,1,1
2,132,16,с,Кадырово,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,6,1,1
2,133,16,с,Бурды,1,1,1,1,3,1,1,1,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
2,131,16,д,Средние Пинячи,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,124,16,с,Мелекес,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,123,16,с,Верхний Такермен,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,1,1,1
2,119,16,с,Калмия,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
2,115,16,д,Мунайка,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,110,16,,Рысово,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,11,1,1,1,4,1,6,2,2,1,1
2,128,16,,Верхнее Абдулово,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,1,6,2,1,1
1,3,16,с,Янга-Аул,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,8,1,1,1
1,165,16,п,Ерыклинский,2,4,2,1,1,2,2,1,1,1,1,1,1,1,1,2,11,2,1,12,12,10,1,1,2,2
2,120,16,,Нижние Гордалы,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,109,16,с,Штырь,1,1,1,1,1,3,9,1,1,3,1,1,1,1,2,11,1,1,1,1,4,1,3,1,1,1
2,109,16,д,Псеево,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,11,1,1,1,4,1,6,6,2,1,1
2,114,16,с,Бизяки,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,4,1,6,6,2,1,1
2,113,16,с,Старое Гришкино,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
2,112,16,д,Абалачи,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,11,1,1,1,4,1,6,6,2,1,1
2,118,16,с,Морты,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,11,1,1,1,4,1,6,6,2,1,1
2,117,16,с,Большой Шурняк,1,1,1,1,3,1,1,1,1,3,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,147,16,с,Мокрые Курнали,1,1,1,1,1,1,8,1,1,3,1,1,1,1,3,11,1,1,1,1,1,1,1,1,8,1
1,111,16,с,Альвидино,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,114,16,с,Большой Салтан,1,1,1,1,6,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,118,16,с,Большой Ошняк,1,1,1,1,6,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,117,16,с,Татарский Янтык,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,122,16,с,Большая Елга,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,108,16,с,Ямашурма,2,1,1,1,1,3,9,1,1,1,1,1,1,1,1,11,1,1,3,1,4,7,3,1,1,1
1,113,16,с,Шали,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,11,1,1,1,1,1,1,2,1,1,1
1,116,16,с,Пелево,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,121,16,с,Именьково,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,115,16,с,Кирби,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,120,16,с,Курманаково,1,1,1,1,6,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,123,16,с,Татарские Саралы,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,119,16,д,Татарский Кабан,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,11,1,1,1,1,1,1,2,1,1,1
1,207,16,с,Татарские Шатрашаны,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,206,16,с,Старые Чукалы,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,205,16,с,Большая Цильна,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,3,1,2,12,10,1,1,2,2
1,204,16,с,Старая Задоровка,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,202,16,д,Мочалей,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,203,16,с,Старое Шаймурзино,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,3,1,2,12,10,1,1,2,2
1,201,16,с,Новые Ишли,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,200,16,д,Татарские Тюки,2,4,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,199,16,с,Энтуганы,2,4,2,1,1,4,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,77,16,с,Чутеево,2,1,2,1,1,4,2,1,1,1,1,2,1,1,1,1,1,2,1,2,12,10,1,1,2,2
1,76,16,с,Хозесаново,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,12,10,1,2,8,1
