Том,№,Субъект,,,Карта 27,Карта 28,Карта 29,Карта 30,Карта 31,Карта 32,Карта 33,Карта 34,Карта 35,Карта 36,Карта 37,Карта 38,Карта 39,Карта 40,Карта 41,Карта 42,Карта 43,Карта 44,Карта 45,Карта 46,Карта 47,Карта 48,Карта 49,Карта 50,Карта 51,Карта 52,Карта 53,Карта 54,Карта 55,Карта 56,Карта 57,Карта 58,Карта 59,Карта 60,Карта 61,Карта 62,Карта 63,Карта 64,Карта 65,Карта 66,Карта 67,Карта 68
1,146,16,с,Кугарчино,2,1,1,1,1,1,2,3,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,7,3,1,7,1,1,2,1,1,1,1,1
1,107,16,с,Янга-Сала,2,1,1,2,1,1,2,2,1,11,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,8,7,1,1,7,3,1,6,1,1,6,3,2,1,1,1
1,110,16,с,Татарское Ходяшево,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,7,1,8,7,6,1,8,1,1,1,1,3,1,1,1
1,112,16,с,Кибячи,3,4,1,2,1,3,2,2,1,2,1,3,3,8,2,1,1,8,1,1,1,1,1,1,1,1,1,7,1,8,7,6,1,7,1,1,2,2,2,1,1,1
1,83,16,с,Большие Ачасыры,2,1,1,1,1,3,2,1,1,11,1,1,2,1,7,1,1,1,1,1,1,1,1,1,1,1,7,8,1,1,8,1,1,1,1,1,1,8,3,1,1,1
1,88,16,с,Бурундуки,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,1,1,8,6,1,1,1,1,1,1,1,1,1,2
1,86,16,с,Молвино,2,1,1,1,1,1,2,1,1,11,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,8,6,1,1,1,1,1,1,1,1,1,1
1,91,16,с,Сатламышево,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,1,1,8,6,1,1,1,1,1,1,1,1,1,2
1,85,16,с,Кугеево,2,1,1,1,1,1,2,6,1,11,1,1,1,1,7,1,1,7,1,1,1,1,1,1,1,8,7,8,1,7,8,6,1,1,1,1,1,3,3,1,1,2
1,87,16,с,Мамадыш-Акилово,2,1,1,1,1,1,2,1,1,11,1,1,1,1,7,1,1,1,1,1,1,1,1,8,1,1,7,8,1,1,8,6,1,1,1,1,1,1,1,1,1,2
1,89,16,,Большие Кушманы,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,1,1,8,6,1,1,1,1,1,1,1,1,1,2
1,84,16,с,Акзигитово,2,1,1,1,1,1,2,6,1,11,1,1,1,1,7,1,1,7,1,1,1,1,1,1,1,8,7,8,1,7,8,6,1,1,1,1,1,3,3,1,1,2
1,90,16,с,Старые Чечкабы,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,1,1,8,6,1,1,1,1,1,1,1,1,1,2
2,199,16,с,Старые Бугады,2,1,1,1,1,1,2,3,1,11,1,1,1,1,4,1,2,7,1,1,1,2,1,1,1,1,1,1,1,1,7,2,1,6,1,1,2,8,1,1,1,1
2,157,16,с,Тюгеевка,1,1,1,2,1,1,3,2,1,7,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,7,1,1,7,3,1,8,1,1,2,2,2,1,1,1
2,295,16,с,Урмышла,1,1,9,8,1,1,3,3,1,11,1,1,1,1,1,1,1,7,1,1,11,1,1,1,1,1,1,1,1,1,7,3,1,7,1,1,1,3,3,1,1,1
2,288,16,с,Ильтень-Бута,1,1,9,2,1,1,3,2,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,7,7,3,1,7,1,1,2,2,2,1,1,1
2,154,16,с,Чубуклы,2,1,1,1,1,1,3,3,1,11,3,1,1,1,1,1,1,7,1,1,1,1,1,1,1,3,8,7,1,1,7,3,1,8,1,1,2,2,2,1,1,1
2,155,16,с,Сарапала,1,1,1,2,1,1,3,2,1,7,3,3,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,7,1,1,7,3,1,8,1,1,2,2,2,1,1,1
2,291,16,с,Маметьево,1,1,9,8,1,1,3,3,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,1,1,7,3,1,7,1,1,2,3,3,1,1,1
2,158,16,с,Савалеево,1,1,1,2,1,1,3,2,1,7,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,8,1,8,7,3,1,7,1,1,2,2,2,1,1,1
2,156,16,с,Светлое Озеро,1,1,1,2,1,1,3,2,1,7,3,3,1,1,1,1,1,7,1,1,1,1,1,1,1,2,1,7,1,1,7,3,1,8,1,1,2,2,2,1,1,1
2,289,16,с,Калейкино,2,1,1,2,1,1,3,2,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,7,3,1,7,1,1,2,2,2,1,1,1
2,297,16,с,Васильевка,1,1,1,2,1,1,3,2,1,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,1,6,1,1,1,2,2,1,1,1
2,149,16,,Сармашбаш,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,1,1,1,1,1,8,1,1,1,7,2,1,7,1,1,2,3,1,1,1,1
2,296,16,с,Абдрахманово,2,1,1,7,1,1,2,3,1,11,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,1,1,1,1,2,8,1,1,1,1
2,143,16,с,Верхние Шипки,2,1,1,1,1,1,2,3,1,11,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,8,1,1,7,3,1,6,1,1,2,2,7,1,1,1
2,116,16,,Старое Утяганово,2,1,1,2,1,1,2,2,1,11,3,1,1,1,1,1,1,7,1,1,1,1,1,1,1,3,1,7,1,8,2,2,1,7,1,1,2,2,2,1,1,1
2,29,16,с,Девятерня,2,1,1,1,1,1,2,1,1,11,2,1,1,1,1,1,3,1,1,1,11,3,1,1,1,1,7,7,1,8,2,2,1,6,1,3,2,8,8,1,1,1
2,106,16,с,Исенбаево,2,1,1,1,1,1,2,2,1,11,2,1,1,1,1,1,3,1,1,1,11,3,1,1,1,1,7,7,1,8,2,2,1,6,1,3,2,8,8,1,1,1
2,111,16,с,Ямурзино,2,1,1,1,1,1,2,2,1,11,2,1,1,1,1,1,3,1,1,1,11,3,1,1,1,1,7,7,1,1,2,2,1,6,1,3,2,8,8,1,1,1
2,104,16,с,Крынды,2,1,1,1,1,1,2,2,1,11,2,1,1,1,1,1,3,1,1,1,1,3,1,1,1,3,7,7,1,8,2,2,1,6,1,3,2,8,8,1,1,1
2,30,16,с,Янга-Аул,2,1,1,1,1,1,2,2,1,11,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1,7,1,8,2,2,1,6,1,1,2,8,1,1,1,1
2,22,16,с,Биктово,2,1,1,1,1,1,2,2,1,11,3,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,8,2,1,8,2,2,1,6,1,1,2,8,8,1,1,1
2,24,16,с,Табарле,2,1,1,1,1,1,2,2,1,11,3,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,8,2,1,1,2,2,1,6,1,1,2,8,8,1,1,1
2,105,16,д,Тойгузино,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,8,1,1,1,2,2,1,1,1,1,2,3,1,1,1,1
2,107,16,с,Камаево,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,1,8,1,1,2,2,1,6,1,3,2,2,1,1,1,1
2,318,16,с,Салихово,1,1,9,1,1,1,1,1,1,11,3,1,1,1,4,10,1,1,1,1,1,1,1,2,3,1,8,8,1,1,3,1,6,1,2,1,1,8,1,1,1,1
2,320,16,с,Новые Чути,1,1,9,1,1,1,1,1,1,11,3,1,1,1,4,10,1,1,1,1,1,3,1,2,3,1,8,8,1,1,3,1,6,1,2,1,1,8,1,1,1,1
2,316,16,с,Татарская Тумбарла,2,1,1,1,1,1,2,3,3,11,3,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,8,1,1,1,2,2,1,6,1,2,1,1,1,1,1,1
2,194,16,с,Новое Алимово,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,2,1,1,1,3,1,1,1,1,7,2,1,1,1,1,2,8,1,1,1,1
2,311,16,с,Кзыл-Яр,2,1,1,1,1,1,2,3,3,11,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,8,1,1,1,2,2,1,6,1,2,1,1,1,1,1,1
2,303,16,с,Сарабикулово,1,1,9,7,1,1,3,3,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,1,8,1,1,1,3,1,1,1,1
2,301,16,с,Федотовка,1,1,9,2,1,1,3,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,7,7,3,1,8,1,1,1,2,2,1,1,1
2,310,16,с,Акбаш,2,1,1,1,1,1,2,3,1,11,1,1,1,1,4,1,2,1,1,1,1,2,1,1,1,1,8,1,1,8,8,2,1,6,1,3,8,8,1,1,1,1
2,305,16,с,Дым-Тамак,2,1,1,1,1,1,2,3,1,11,1,1,1,1,4,1,2,1,1,1,1,2,1,1,1,1,8,1,1,8,8,2,1,6,1,3,8,8,1,1,1,1
2,302,16,с,Нижние Чершилы,1,1,9,2,1,1,3,6,1,11,1,3,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,7,7,3,1,8,1,1,1,8,3,1,1,1
2,21,16,с,Иж-Бобья,2,1,1,1,1,1,2,2,1,11,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,8,1,1,1,2,2,1,6,1,1,2,8,1,1,1,1
1,145,16,с,Янчиково,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,7,1,1,1,1,1,8,1,1,1,8,1,1,7,3,1,7,1,1,2,1,1,1,1,1
1,101,16,с,Старый Юмралы,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,8,1,1,1,8,3,1,1,1,1,1,8,8,1,1,2
2,140,16,с,Кряш-Шуран,2,1,1,2,1,1,2,2,1,11,3,1,1,1,4,1,1,7,1,1,1,2,1,1,1,1,8,7,1,1,7,2,1,6,1,1,2,2,2,1,1,1
2,307,16,с,Старое Шугурово,1,1,9,7,1,1,3,6,8,11,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,7,7,3,1,6,1,1,1,3,1,1,1,1
2,308,16,с,Сугушла,1,1,9,7,1,1,3,6,1,11,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,7,8,3,1,8,1,1,1,3,1,1,1,1
2,151,16,,Татар. Шуган,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,11,2,1,1,1,1,8,1,1,1,7,2,1,6,1,2,2,3,3,1,1,1
2,298,16,с,Старый Каразерик,2,1,1,1,1,1,2,3,1,11,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,8,1,1,8,7,2,1,6,1,1,8,8,1,1,1,1
2,146,16,с,Салауз-Мухан,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,8,1,1,1,7,2,1,6,1,3,2,3,3,1,1,1
2,164,16,с,Учалле,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,8,1,8,7,2,1,6,1,1,1,8,1,1,1,1
2,139,16,с,Нижний Табын,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,2,1,1,1,1,8,1,1,1,7,2,1,1,1,1,2,3,1,1,1,1
2,150,16,с,Баюково,2,1,1,7,1,1,2,3,1,11,1,1,1,1,4,1,2,7,1,1,1,2,1,1,1,1,8,1,1,7,7,2,1,1,1,2,2,8,1,1,1,1
2,141,16,с,Старые Карамалы,2,1,1,8,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,1,1,1,1,1,1,1,1,7,7,2,1,1,1,2,2,8,1,1,1,1
2,299,16,с,Байряки-Тамак,2,1,1,1,1,1,2,3,1,11,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,8,1,1,1,7,2,1,6,1,1,8,8,1,1,1,1
2,166,16,с,Верхнее Стярле,2,1,1,1,1,1,2,3,1,11,1,1,1,1,1,1,2,8,1,1,1,1,1,1,1,1,1,8,1,1,7,2,1,1,1,1,1,8,8,1,1,1
2,163,16,с,Сарлы,2,1,1,1,1,1,2,3,1,11,1,1,1,1,1,1,2,7,1,1,1,1,1,1,1,1,1,1,1,8,7,2,1,6,1,1,2,8,8,1,1,1
2,300,16,с,Каракашлы,1,1,1,1,1,1,2,3,1,11,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,7,1,1,1,8,2,1,6,1,3,8,8,1,1,1,1
2,294,16,с,Карамалы,2,1,1,1,1,1,2,3,1,11,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,7,1,1,8,7,2,1,7,1,1,8,1,1,1,1,1
2,290,16,с,Асеево,2,1,1,1,1,1,2,3,1,11,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,8,1,7,7,2,1,6,1,1,1,3,1,1,1,1
2,161,16,с,Большой Сухояш,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,1,1,1,1,1,1,8,1,8,7,3,1,1,1,1,2,8,1,1,1,1
2,147,16,с,Тойгильдино,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,1,1,1,1,1,8,1,1,8,7,2,1,6,1,3,2,3,3,1,1,1
2,293,16,с,Балтачево,2,1,1,1,1,1,2,3,1,11,1,1,1,1,4,1,2,1,1,1,1,2,1,1,1,1,7,1,1,8,7,2,1,7,1,1,8,8,1,1,1,1
2,160,16,с,Масягутово,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,1,7,1,1,1,1,1,1,1,1,8,1,1,1,7,2,1,1,1,1,2,3,8,1,1,1
2,145,16,с,Кавзияково,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,1,1,1,1,3,1,1,1,1,7,2,1,6,1,1,2,8,1,1,1,1
2,165,16,с,Мальбагуш,2,1,1,1,1,1,2,3,1,11,1,1,1,1,1,1,2,7,1,1,1,3,1,1,1,1,7,1,1,1,7,2,1,6,1,1,8,8,1,1,1,1
2,148,16,с,Иляксаз,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,1,1,1,1,1,1,1,1,1,7,2,1,6,1,1,2,8,1,1,1,1
2,159,16,с,Сулеево,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,1,1,1,1,1,1,8,1,1,7,3,1,1,1,1,2,3,1,1,1,1
2,292,16,с,Бишмунча,2,1,1,7,1,1,2,3,1,11,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,1,1,1,1,2,3,1,1,1,1
2,152,16,с,Новый Имян,2,1,1,1,1,1,2,3,1,11,3,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,8,1,1,1,7,2,1,8,1,1,2,8,1,1,1,1
2,205,16,с,Старое Байсарово,2,1,1,1,1,1,2,3,1,11,1,1,1,1,1,1,2,7,1,1,1,2,1,1,1,1,1,1,1,1,7,2,1,1,1,1,2,1,1,1,1,1
2,130,16,с,Старое Сафарово,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,2,1,1,1,1,8,1,1,7,7,2,1,6,1,2,2,8,1,1,1,1
2,121,16,с,Татарские Суксы,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,2,1,1,1,1,1,1,1,1,7,2,1,6,1,1,2,8,1,1,1,1
2,125,16,с,Старое Курмашево,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,2,1,1,1,1,8,1,1,7,7,2,1,6,1,1,2,8,1,1,1,1
2,126,16,с,Атясево,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,2,1,1,1,1,1,1,1,7,7,2,1,6,1,2,2,8,1,1,1,1
2,135,16,с,Исансупово,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,2,1,1,1,1,1,1,1,7,7,2,1,6,1,2,2,8,1,1,1,1
2,136,16,с,Семяково,2,1,1,8,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,2,1,1,1,1,8,1,1,7,7,2,1,6,1,2,2,3,1,1,1,1
2,134,16,с,Старый Иркеняш,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,2,1,1,1,1,8,1,1,7,7,2,1,7,1,2,2,3,1,1,1,1
2,129,16,с,Аю,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,11,2,1,1,1,1,8,7,1,7,7,2,1,6,1,2,2,3,1,1,1,1
2,122,16,,Ст.Мелькен,2,1,1,2,1,1,2,2,1,11,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,7,2,1,7,1,1,2,8,2,1,1,1
2,127,16,с,Верхние Юшады,2,1,1,2,1,1,2,2,1,11,3,1,1,1,1,1,1,7,1,1,1,1,1,1,1,2,8,3,1,7,7,2,1,7,1,1,2,2,2,1,1,1
2,138,16,,Сарсаз Такермень,2,1,1,1,1,1,2,3,1,11,3,1,1,1,4,1,2,7,1,1,1,1,1,1,1,3,1,1,1,1,7,2,1,6,1,1,2,8,1,1,1,1
2,142,16,с,Ляки,2,1,1,2,1,1,2,2,1,11,3,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,8,8,1,8,7,2,1,7,1,1,2,2,2,1,1,1
